commit_message,sha,type,commit_url,annotated_type,masked_commit_message,git_diff,human_label
   Object.defineProperty(a, '__filemeta', {
-    enumerable: true,
     configurable: true,
     value: {
       name: \\""a\\"",
@@ -262,7 +245,6 @@ export default a;
 
 if (typeof a !== 'undefined' && a && a === Object(a) && Object.isExtensible(a)) {
   Object.defineProperty(a, '__filemeta', {
-    enumerable: true,
     configurable: true,
     value: {
       name: \\""a\\"",
@@ -278,7 +260,6 @@ export { a as aa } from '../assets/a';
 
 if (typeof aa !== 'undefined' && aa && aa === Object(aa) && Object.isExtensible(aa)) {
   Object.defineProperty(aa, '__filemeta', {
-    enumerable: true,
     configurable: true,
     value: {
       name: \\""aa\\"",
",0
fix: fix locals blocks being added to module,0f139ac08cfe1ecdb655ed4ada7d1c112e759aca,fix,https://github.com/ahouab/infracost/commit/0f139ac08cfe1ecdb655ed4ada7d1c112e759aca,fix,fix locals blocks being added to module,"diff --git a/internal/hcl/graph.go b/internal/hcl/graph.go
index e293f72..50e415e 100644
--- a/internal/hcl/graph.go
+++ b/internal/hcl/graph.go
@@ -137,6 +137,12 @@ func (g *Graph) Populate(evaluator *Evaluator) error {
 		}
 	}
 
+	// TODO: is there a better way of doing this?
+	// Add the locals block to the list of filtered blocks. These won't get
+	// added when we walk the graph since locals are evaluated per attribute
+	// and not per block, so we need to make sure this is done here.
+	evaluator.AddFilteredBlocks(evaluator.module.Blocks.OfType(""locals"")...)
+
 	return nil
 }
 
",1
style(core): fix misspellings,4c879900e5533eda790a990d1e5659ce01a4fdf2,style,https://github.com/2lambda123/ionic-framework/commit/4c879900e5533eda790a990d1e5659ce01a4fdf2,style,fix misspellings,"diff --git a/core/src/components.d.ts b/core/src/components.d.ts
index 71925f9..f353503 100644
--- a/core/src/components.d.ts
+++ b/core/src/components.d.ts
@@ -2633,11 +2633,11 @@ export namespace Components {
     */
     'mode': Mode;
     /**
-    * Returns a promise that resolves when the modal did dismiss. It also accepts a callback that is called in the same circustances.
+    * Returns a promise that resolves when the modal did dismiss. It also accepts a callback that is called in the same circumstances.
     */
     'onDidDismiss': () => Promise<OverlayEventDetail<any>>;
     /**
-    * Returns a promise that resolves when the modal will dismiss. It also accepts a callback that is called in the same circustances.
+    * Returns a promise that resolves when the modal will dismiss. It also accepts a callback that is called in the same circumstances.
     */
     'onWillDismiss': () => Promise<OverlayEventDetail<any>>;
     'overlayIndex': number;
diff --git a/core/src/components/animation-controller/animation-interface.tsx b/core/src/components/animation-controller/animation-interface.tsx
index ef06d34..dbf1ac9 100644
--- a/core/src/components/animation-controller/animation-interface.tsx
+++ b/core/src/components/animation-controller/animation-interface.tsx
@@ -35,7 +35,7 @@ export interface Animation {
   progressStart(): void;
   progressStep(stepValue: number): void;
   progressEnd(shouldComplete: boolean, currentStepValue: number, dur: number): void;
-  onFinish(callback: (animation?: Animation) => void, opts?: {oneTimeCallback?: boolean, clearExistingCallacks?: boolean}): Animation;
+  onFinish(callback: (animation?: Animation) => void, opts?: {oneTimeCallback?: boolean, clearExistingCallbacks?: boolean}): Animation;
   destroy(): void;
   isRoot(): boolean;
   hasCompleted: boolean;
diff --git a/core/src/components/animation-controller/animator.tsx b/core/src/components/animation-controller/animator.tsx
index 9b7d9fe..2e2f08c 100644
--- a/core/src/components/animation-controller/animator.tsx
+++ b/core/src/components/animation-controller/animator.tsx
@@ -363,7 +363,7 @@ export class Animator {
 
   playAsync(opts?: PlayOptions): Promise<Animator> {
     return new Promise(resolve => {
-      this.onFinish(resolve, { oneTimeCallback: true, clearExistingCallacks: true });
+      this.onFinish(resolve, { oneTimeCallback: true, clearExistingCallbacks: true });
       this.play(opts);
       return this;
     });
@@ -1120,8 +1120,8 @@ export class Animator {
   /**
    * Add a callback to fire when the animation has finished.
    */
-  onFinish(callback: (animation?: any) => void, opts?: {oneTimeCallback?: boolean, clearExistingCallacks?: boolean}): Animator {
-    if (opts && opts.clearExistingCallacks) {
+  onFinish(callback: (animation?: any) => void, opts?: {oneTimeCallback?: boolean, clearExistingCallbacks?: boolean}): Animator {
+    if (opts && opts.clearExistingCallbacks) {
       this._onFinishCallbacks = this._onFinishOneTimeCallbacks = undefined;
     }
     if (opts && opts.oneTimeCallback) {
diff --git a/core/src/components/menu/menu.tsx b/core/src/components/menu/menu.tsx
index 37d23a9..596384d 100644
--- a/core/src/components/menu/menu.tsx
+++ b/core/src/components/menu/menu.tsx
@@ -387,7 +387,7 @@ export class Menu implements MenuI {
     this.lastOnEnd = detail.timeStamp;
     this.animation
       .onFinish(() => this.afterAnimation(shouldOpen), {
-        clearExistingCallacks: true
+        clearExistingCallbacks: true
       })
       .progressEnd(shouldComplete, stepValue, realDur);
   }
diff --git a/core/src/components/modal/modal.tsx b/core/src/components/modal/modal.tsx
index 544839c..6d2a53c 100644
--- a/core/src/components/modal/modal.tsx
+++ b/core/src/components/modal/modal.tsx
@@ -184,7 +184,7 @@ export class Modal implements OverlayInterface {
 
   /**
    * Returns a promise that resolves when the modal did dismiss. It also accepts a callback
-   * that is called in the same circustances.
+   * that is called in the same circumstances.
    *
    */
   @Method()
@@ -194,7 +194,7 @@ export class Modal implements OverlayInterface {
 
   /**
    * Returns a promise that resolves when the modal will dismiss. It also accepts a callback
-   * that is called in the same circustances.
+   * that is called in the same circumstances.
    *
    */
   @Method()
diff --git a/core/src/utils/gesture/gesture.ts b/core/src/utils/gesture/gesture.ts
index d4d855f..0e75f37 100644
--- a/core/src/utils/gesture/gesture.ts
+++ b/core/src/utils/gesture/gesture.ts
@@ -98,7 +98,7 @@ export function createGesture(config: GestureConfig): Gesture {
 
   function pointerMove(ev: UIEvent) {
     // fast path, if gesture is currently captured
-    // do minimun job to get user-land even dispatched
+    // do minimum job to get user-land even dispatched
     if (hasCapturedPan) {
       if (!isMoveQueued && hasFiredStart) {
         isMoveQueued = true;
@@ -137,11 +137,11 @@ export function createGesture(config: GestureConfig): Gesture {
     hasFiredStart = false;
 
     // reset start position since the real user-land event starts here
-    // If the pan detector threshold is big, not reseting the start position
+    // If the pan detector threshold is big, not resetting the start position
     // will cause a jump in the animation equal to the detector threshold.
     // the array of positions used to calculate the gesture velocity does not
     // need to be cleaned, more points in the positions array always results in a
-    // more acurate value of the velocity.
+    // more accurate value of the velocity.
     detail.startX = detail.currentX;
     detail.startY = detail.currentY;
     detail.startTimeStamp = detail.timeStamp;
",0
"fix: include `token_version` value in jwt payload

use a generic function to populate jwt token to avoid repetition

re #2361

Signed-off-by: Pranav C <pranavxc@gmail.com>",5ac169d840351733849207e082d2a65abf629c92,fix,https://github.com/profMagija/nocodb/commit/5ac169d840351733849207e082d2a65abf629c92,fix,"include `token_version` value in jwt payload

use a generic function to populate jwt token to avoid repetition

re #2361

Signed-off-by: Pranav C <pranavxc@gmail.com>","diff --git a/packages/nocodb/src/lib/meta/api/sync/importApis.ts b/packages/nocodb/src/lib/meta/api/sync/importApis.ts
index 2facc67..1f8d137 100644
--- a/packages/nocodb/src/lib/meta/api/sync/importApis.ts
+++ b/packages/nocodb/src/lib/meta/api/sync/importApis.ts
@@ -7,7 +7,7 @@ import NocoJobs from '../../../jobs/NocoJobs';
 import job, { AirtableSyncConfig } from './helpers/job';
 import SyncSource from '../../../models/SyncSource';
 import Noco from '../../../Noco';
-import * as jwt from 'jsonwebtoken';
+import { genJwt } from '../userApi/helpers';
 const AIRTABLE_IMPORT_JOB = 'AIRTABLE_IMPORT_JOB';
 const AIRTABLE_PROGRESS_JOB = 'AIRTABLE_PROGRESS_JOB';
 
@@ -76,18 +76,7 @@ export default (router: Router, clients: { [id: string]: Socket }) => {
       const syncSource = await SyncSource.get(req.params.syncId);
 
       const user = await syncSource.getUser();
-      const token = jwt.sign(
-        {
-          email: user.email,
-          firstname: user.firstname,
-          lastname: user.lastname,
-          id: user.id,
-          roles: user.roles
-        },
-
-        Noco.getConfig().auth.jwt.secret,
-        Noco.getConfig().auth.jwt.options
-      );
+      const token = genJwt(user, Noco.getConfig());
 
       // Treat default baseUrl as siteUrl from req object
       let baseURL = (req as any).ncSiteUrl;
diff --git a/packages/nocodb/src/lib/meta/api/userApi/helpers.ts b/packages/nocodb/src/lib/meta/api/userApi/helpers.ts
new file mode 100644
index 0000000..48f7c11
--- /dev/null
+++ b/packages/nocodb/src/lib/meta/api/userApi/helpers.ts
@@ -0,0 +1,18 @@
+import * as jwt from 'jsonwebtoken';
+import User from '../../../models/User';
+import { NcConfig } from '../../../../interface/config';
+
+export function genJwt(user: User, config: NcConfig) {
+  return jwt.sign(
+    {
+      email: user.email,
+      firstname: user.firstname,
+      lastname: user.lastname,
+      id: user.id,
+      roles: user.roles,
+      token_version: user.token_version
+    },
+    config.auth.jwt.secret,
+    config.auth.jwt.options
+  );
+}
diff --git a/packages/nocodb/src/lib/meta/api/userApi/userApis.ts b/packages/nocodb/src/lib/meta/api/userApi/userApis.ts
index 2b8384a..7a6fa31 100644
--- a/packages/nocodb/src/lib/meta/api/userApi/userApis.ts
+++ b/packages/nocodb/src/lib/meta/api/userApi/userApis.ts
@@ -10,7 +10,6 @@ import User from '../../../models/User';
 import { Tele } from 'nc-help';
 
 const { v4: uuidv4 } = require('uuid');
-import * as jwt from 'jsonwebtoken';
 import Audit from '../../../models/Audit';
 import crypto from 'crypto';
 import NcPluginMgrv2 from '../../helpers/NcPluginMgrv2';
@@ -20,6 +19,7 @@ import extractProjectIdAndAuthenticate from '../../helpers/extractProjectIdAndAu
 import ncMetaAclMw from '../../helpers/ncMetaAclMw';
 import { MetaTable } from '../../../utils/globals';
 import Noco from '../../../Noco';
+import { genJwt } from './helpers';
 
 export async function signup(req: Request, res: Response<TableType>) {
   const {
@@ -147,18 +147,7 @@ export async function signup(req: Request, res: Response<TableType>) {
   });
 
   res.json({
-    token: jwt.sign(
-      {
-        email: user.email,
-        firstname: user.firstname,
-        lastname: user.lastname,
-        id: user.id,
-        roles: user.roles,
-        token_version: user.token_version
-      },
-      Noco.getConfig().auth.jwt.secret,
-      Noco.getConfig().auth.jwt.options
-    )
+    token: genJwt(user, Noco.getConfig())
   } as any);
 }
 
@@ -205,19 +194,7 @@ async function successfulSignIn({
     });
 
     res.json({
-      token: jwt.sign(
-        {
-          email: user.email,
-          firstname: user.firstname,
-          lastname: user.lastname,
-          id: user.id,
-          roles: user.roles,
-          token_version
-        },
-
-        Noco.getConfig().auth.jwt.secret,
-        Noco.getConfig().auth.jwt.options
-      )
+      token: genJwt(user, Noco.getConfig())
     } as any);
   } catch (e) {
     console.log(e);
@@ -477,17 +454,7 @@ async function refreshToken(req, res): Promise<any> {
     setTokenCookie(res, refreshToken);
 
     res.json({
-      token: jwt.sign(
-        {
-          email: user.email,
-          firstname: user.firstname,
-          lastname: user.lastname,
-          id: user.id,
-          roles: user.roles
-        },
-        Noco.getConfig().auth.jwt.secret,
-        Noco.getConfig().auth.jwt.options
-      )
+      token: genJwt(user, Noco.getConfig())
     } as any);
   } catch (e) {
     return res.status(400).json({ msg: e.message });
",1
feat(winget): arm64 support,ebaa20ea3f02e25f78c52cae208017a898cb6c13,feat,https://github.com/JanDeDobbeleer/oh-my-posh/commit/ebaa20ea3f02e25f78c52cae208017a898cb6c13,feat,arm64 support,"diff --git a/.github/workflows/release.yml b/.github/workflows/release.yml
index 581c41d..f81cae0 100644
--- a/.github/workflows/release.yml
+++ b/.github/workflows/release.yml
@@ -239,8 +239,9 @@ jobs:
     needs: [release, artifacts]
     if: ${{ needs.release.outputs.skipped == 'false' }}
     runs-on: windows-latest
-    outputs:
-      hash: ${{ steps.hash.outputs.hash_inno }}
+    strategy:
+      matrix:
+        arch: [amd64, arm64]
     defaults:
       run:
         shell: pwsh
@@ -249,12 +250,12 @@ jobs:
     - name: Checkout code
       uses: actions/checkout@v2
     - name: Build installer
-      run: ./build.ps1 -Version ${{ needs.release.outputs.version }}
+      run: ./build.ps1 -Architecture ${{ matrix.arch }}  -Version ${{ needs.release.outputs.version }}
     - name: Output Hash
       id: hash
       run: |
-        $hash = Get-Content -Path Output/install.exe.sha256
-        Write-Output ""::set-output name=hash_inno::$($hash)""
+        $hash = Get-Content -Path Output/install-${{ matrix.arch }}.exe.sha256
+        Write-Output ""::set-output name=hash_inno_${{ matrix.arch }}::$($hash)""
     - name: Upload Inno Installer
       id: upload-inno-installer
       uses: actions/upload-release-asset@v1
@@ -262,8 +263,8 @@ jobs:
         GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
       with:
         upload_url: ${{ needs.release.outputs.upload_url }}
-        asset_path: ${{ github.workspace }}/packages/inno/Output/install.exe
-        asset_name: install.exe
+        asset_path: ${{ github.workspace }}/packages/inno/Output/install-${{ matrix.arch }}.exe
+        asset_name: install-${{ matrix.arch }}.exe
         asset_content_type: text/plain
     - name: Upload Inno Installer Hash
       id: upload-inno-installer-hash
@@ -272,8 +273,8 @@ jobs:
         GITHUB_TOKEN: ${{ secrets.GITHUB_TOKEN }}
       with:
         upload_url: ${{ needs.release.outputs.upload_url }}
-        asset_path: ${{ github.workspace }}/packages/inno/Output/install.exe.sha256
-        asset_name: install.exe.sha256
+        asset_path: ${{ github.workspace }}/packages/inno/Output/install-${{ matrix.arch }}.exe.sha256
+        asset_name: install-${{ matrix.arch }}.exe.sha256
         asset_content_type: text/plain
   winget:
     needs: [release, inno]
@@ -289,4 +290,4 @@ jobs:
     - name: Checkout code
       uses: actions/checkout@v2
     - name: Create manifest and submit PR
-      run: ./build.ps1 -Version ${{ needs.release.outputs.version }} -Hash ${{ needs.inno.outputs.hash }} -Token $env:WINGETCREATE_TOKEN
+      run: ./build.ps1 -Version ${{ needs.release.outputs.version }} -Token $env:WINGETCREATE_TOKEN
diff --git a/packages/inno/build.ps1 b/packages/inno/build.ps1
index 53eee78..f17427c 100644
--- a/packages/inno/build.ps1
+++ b/packages/inno/build.ps1
@@ -1,6 +1,9 @@
 Param
 (
     [parameter(Mandatory = $true)]
+    [ValidateSet('amd64', 'arm64')]
+    [System.String]$Architecture,
+    [parameter(Mandatory = $true)]
     [string]
     $Version
 )
@@ -9,17 +12,19 @@ New-Item -Path ""."" -Name ""bin"" -ItemType Directory
 Copy-Item -Path ""../../themes"" -Destination ""./bin"" -Recurse
 
 # download the files and pack them
-@{name = 'posh-windows-amd64.exe' }, @{name = 'posh-linux-amd64' }, @{name = 'posh-windows-386.exe' } | ForEach-Object -Process {
-    $download = ""https://github.com/jandedobbeleer/oh-my-posh/releases/download/v$Version/$($_.name)""
+@{file = ""posh-windows-$Architecture.exe""; name = ""oh-my-posh.exe"" }, @{file = ""posh-linux-$Architecture""; name = ""oh-my-posh-wsl"" } | ForEach-Object -Process {
+    $download = ""https://github.com/jandedobbeleer/oh-my-posh/releases/download/v$Version/$($_.file)""
     Invoke-WebRequest $download -Out ""./bin/$($_.name)""
 }
 # license
 Invoke-WebRequest ""https://raw.githubusercontent.com/JanDeDobbeleer/oh-my-posh/v$Version/COPYING"" -Out ""./bin/COPYING.txt""
 $content = Get-Content '.\oh-my-posh.iss' -Raw
 $content = $content.Replace('<VERSION>', $Version)
-$content | Out-File -Encoding 'UTF8' "".oh-my-posh-$Version.iss""
+$ISSName = "".oh-my-posh-$Architecture-$Version.iss""
+$content | Out-File -Encoding 'UTF8' $ISSName
 # package content
-ISCC.exe "".oh-my-posh-$Version.iss""
+$installer = ""install-$Architecture""
+ISCC.exe /F$installer $ISSName
 # get hash
-$zipHash = Get-FileHash 'Output/install.exe' -Algorithm SHA256
-$zipHash.Hash | Out-File -Encoding 'UTF8' 'Output/install.exe.sha256'
+$zipHash = Get-FileHash ""Output/$installer.exe"" -Algorithm SHA256
+$zipHash.Hash | Out-File -Encoding 'UTF8' ""Output/$installer.exe.sha256""
diff --git a/packages/inno/oh-my-posh.iss b/packages/inno/oh-my-posh.iss
index d0e76b0..4fa2b89 100644
--- a/packages/inno/oh-my-posh.iss
+++ b/packages/inno/oh-my-posh.iss
@@ -11,9 +11,8 @@ LicenseFile=""bin\COPYING.txt""
 OutputBaseFilename=install
 
 [Files]
-Source: ""bin\posh-windows-amd64.exe""; DestDir: ""{app}\bin""; DestName: ""oh-my-posh.exe""; Flags: 64bit
-Source: ""bin\posh-windows-386.exe""; DestDir: ""{app}\bin""; DestName: ""oh-my-posh.exe""; Flags: 32bit
-Source: ""bin\posh-linux-amd64""; DestDir: ""{app}\bin""; DestName: ""oh-my-posh-wsl""; Flags: 64bit
+Source: ""bin\oh-my-posh.exe""; DestDir: ""{app}\bin""
+Source: ""bin\oh-my-posh-wsl""; DestDir: ""{app}\bin""
 Source: ""bin\themes\*""; DestDir: ""{app}\themes""
 
 [Registry]
diff --git a/packages/winget/JanDeDobbeleer.OhMyPosh.installer.yaml b/packages/winget/JanDeDobbeleer.OhMyPosh.installer.yaml
index 05b06ad..1f63262 100644
--- a/packages/winget/JanDeDobbeleer.OhMyPosh.installer.yaml
+++ b/packages/winget/JanDeDobbeleer.OhMyPosh.installer.yaml
@@ -5,7 +5,11 @@ InstallModes:
 Installers:
 - Architecture: x64
   InstallerType: inno
-  InstallerUrl: https://github.com/JanDeDobbeleer/oh-my-posh/releases/download/v<VERSION>/install.exe
-  InstallerSha256: <HASH>
+  InstallerUrl: https://github.com/JanDeDobbeleer/oh-my-posh/releases/download/v<VERSION>/install-amd64.exe
+  InstallerSha256: <HASH-AMD64>
+- Architecture: arm64
+  InstallerType: inno
+  InstallerUrl: https://github.com/JanDeDobbeleer/oh-my-posh/releases/download/v<VERSION>/install-arm64.exe
+  InstallerSha256: <HASH-ARM64>
 ManifestType: ""installer""
 ManifestVersion: 1.0.0
diff --git a/packages/winget/build.ps1 b/packages/winget/build.ps1
index 9199208..46d4ccc 100644
--- a/packages/winget/build.ps1
+++ b/packages/winget/build.ps1
@@ -4,15 +4,25 @@ Param
     [parameter(Mandatory = $true)]
     [string]
     $Version,
-    [parameter(Mandatory = $true)]
-    [string]
-    $Hash,
     [parameter(Mandatory = $false)]
     [string]
     $Token
 )
 
-function Set-Version {
+function Get-HashForArchitecture {
+    param (
+        [parameter(Mandatory = $true)]
+        [string]
+        $Architecture,
+        [parameter(Mandatory = $true)]
+        [string]
+        $Version
+    )
+    $hash = (new-object Net.WebClient).DownloadString(""https://github.com/JanDeDobbeleer/oh-my-posh/releases/download/v$Version/install-$Architecture.exe.sha256"")
+    return $hash
+}
+
+function Write-MetaData {
     param (
         [parameter(Mandatory = $true)]
         [string]
@@ -22,18 +32,24 @@ function Set-Version {
         $Version,
         [parameter(Mandatory = $true)]
         [string]
-        $Hash
+        $HashAmd64,
+        [parameter(Mandatory = $true)]
+        [string]
+        $HashArm64
     )
     $content = Get-Content $FileName -Raw
     $content = $content.Replace('<VERSION>', $Version)
-    $content = $content.Replace('<HASH>', $Hash)
+    $content = $content.Replace('<HASH-AMD64>', $HashAmd64)
+    $content = $content.Replace('<HASH-ARM64>', $HashArm64)
     $content | Out-File -Encoding 'UTF8' ""./$Version/$FileName""
 }
 
 New-Item -Path $PWD -Name $Version -ItemType ""directory""
 # Get all files inside the folder and adjust the version/hash
+$HashAmd64 = Get-HashForArchitecture -Architecture 'amd64' -Version $Version
+$HashArm64 = Get-HashForArchitecture -Architecture 'arm64' -Version $Version
 Get-ChildItem '*.yaml' | ForEach-Object -Process {
-    Set-Version -FileName $_.Name -Version $Version -Hash $hash
+    Write-MetaData -FileName $_.Name -Version $Version -HashAmd64 $HashAmd64 -HashArm64 $HashArm64
 }
 if (-not $Token) {
     return
",0
ci: reorder e2e execution,d8ad323f10fdca95738409f04aecf0e526af50dc,ci,https://github.com/ory/hydra/commit/d8ad323f10fdca95738409f04aecf0e526af50dc,ci,reorder e2e execution,"diff --git a/.circleci/config.yml b/.circleci/config.yml
index 36f01d4..49365e0 100644
--- a/.circleci/config.yml
+++ b/.circleci/config.yml
@@ -103,12 +103,12 @@ jobs:
 
       - run: ./test/e2e/circle-ci.bash memory
       - run: ./test/e2e/circle-ci.bash memory-jwt
-      - run: ./test/e2e/circle-ci.bash postgres
-      - run: ./test/e2e/circle-ci.bash postgres-jwt
       - run: ./test/e2e/circle-ci.bash cockroach
       - run: ./test/e2e/circle-ci.bash cockroach-jwt
       - run: ./test/e2e/circle-ci.bash mysql
       - run: ./test/e2e/circle-ci.bash mysql-jwt
+      - run: ./test/e2e/circle-ci.bash postgres
+      - run: ./test/e2e/circle-ci.bash postgres-jwt
 
 workflows:
   bdt:
",0
